,pass_count,prev_ball_zone,zone_get_possesion,bet_cen_A,bet_cen_B,entropy_A,entropy_B,pA_z1,pA_z2,pA_z3,pA_z4,pA_z5,pA_z6,pA_z7,pA_z8,pA_z9,pA_z10,pA_z11,pA_z12,pB_z1,pB_z2,pB_z3,pB_z4,pB_z5,pB_z6,pB_z7,pB_z8,pB_z9,pB_z10,pB_z11,pB_z12,tA_ball_poss,tB_ball_poss,danger_zone,AZ1,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,AZ8,AZ9,AZ10,AZ11,AZ12,BZ1,BZ2,BZ3,BZ4,BZ5,BZ6,BZ7,BZ8,BZ9,BZ10,BZ11,BZ12
20,14,5.0,5.0,0.07878787878787878,0.08686868686868686,2.1175715090381977,2.0370153348955893,1,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0.7841447651874193,0.2158552348125808,0,0.0,26.49840581910044,0.0,0.0,53.737608344168535,71.52681747051227,0.0,15.503542649686715,14.91885801070706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.901587166561065,39.76200822437801,7.845908378280944,7.1364178365305575,17.123695677721834,0.0,2.287661111959106,0.0
21,14,8.0,5.0,0.08282828282828283,0.0787878787878788,2.074479780632052,2.1119131213008058,1,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0.7634228187919463,0.23657718120805368,0,0.0,6.422896316481208,0.0,0.0,57.66177690152228,51.89467506661761,0.0,52.78652582904294,15.71073611405034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.930805441942354,20.71270651142839,0.0,34.60011640121077,26.33105796439294,0.0,2.4320894296110316,0.0
22,13,11.0,5.0,0.08888888888888888,0.08686868686868687,1.981197277069451,2.038608253185916,1,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0.741042345276873,0.25895765472312704,0,0.0,6.439905028062139,0.0,0.0,57.81367664193478,51.29965843016217,0.0,36.545873164282845,0.0,0.0,32.73162325419611,0.0,0.0,0.0,0.0,0.0,10.957258212170006,9.409156125527899,0.0,34.779444773065435,17.618767405520813,8.972594575370632,12.324547112357013,0.0
23,13,8.0,5.0,0.07474747474747476,0.09090909090909088,2.1484080011959006,2.008653176101386,1,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0.731805388017692,0.268194611982308,0,0.0,6.403288527036657,0.0,0.0,37.231196712613766,50.9910255576621,0.0,53.20612620574565,20.15796978889404,0.0,16.104659857837746,0.0,0.0,0.0,0.0,0.0,10.88840405931039,9.336093991699984,0.0,43.66904956788404,8.800034593302486,8.944900924418995,12.421857615751966,0.0
24,13,7.0,5.0,0.08888888888888889,0.07272727272727272,1.612266640484492,1.6961972083486072,1,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0.6788511749347258,0.32114882506527415,0,0.0,6.450895132566277,0.0,0.0,72.02067820051607,15.676362732089956,0.0,15.925303925556253,19.95223798573161,57.21651359865549,0.0,0.0,0.0,0.0,0.0,0.0,30.211263752958807,9.094611172365534,0.0,26.17550416953278,8.981090187218985,18.421201063330223,2.7333139259516495,0.0
25,13,10.0,5.0,0.06464646464646467,0.0808080808080808,1.8261434527970868,1.5979889523467234,1,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0.6715867158671587,0.3284132841328413,0,0.0,6.393346581756503,0.0,0.0,71.62903274913998,15.56344719937358,0.0,16.041048372488174,19.87661718519991,56.909765957131754,0.0,0.0,0.0,0.0,0.0,0.0,30.113833591393913,9.017228829717952,0.0,26.29272522095286,9.003408452840423,18.40306935175075,2.727418028696855,0.0
26,12,7.0,5.0,0.08484848484848484,0.09090909090909091,2.0671966654884986,1.9780652486769694,1,0,0,0,1,0,1,1,0,0,0,1,2,0,0,0,1,0,1,1,0,0,0,1,0.6486101211689237,0.35138987883107625,0,0.0,6.274903175494059,0.0,0.0,88.26781118037958,34.85660239341317,0.0,16.384196667159337,0.0,37.92781370770875,0.0,0.0,0.0,0.0,0.0,0.0,21.283478156595766,8.863516460615651,7.664560874806312,18.8583668072648,8.923189546913864,26.33297665449241,2.693428543835211,0.0
27,12,8.0,5.0,0.08282828282828285,0.09696969696969697,2.047484315187009,1.9416980926948868,1,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0,1,0,0,1,1,0,0,1,0.6310679611650486,0.36893203883495146,0,0.0,6.258676861878096,0.0,0.0,69.31479352942561,34.430301331969076,0.0,34.603287888189115,0.0,37.39623470948718,0.0,0.0,0.0,0.0,0.0,0.0,28.989227694961322,8.755961252741338,7.62905039237956,18.786902115752554,8.981032569992866,17.862527599741043,2.6492175638437616,0.0
28,11,9.0,9.0,0.07676767676767678,0.0909090909090909,2.1499062633202195,1.9993633538716145,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0.613150867823765,0.38684913217623496,0,0.0,6.104740230661667,0.0,0.0,57.36801223947499,47.57285864796458,0.0,34.61908925968332,20.031419559778538,17.1625729275565,0.0,0.0,0.0,0.0,0.0,0.0,18.003148242050187,19.29198219156615,8.626656273149445,18.095735178641178,17.42325060312421,8.743791045361657,2.6626769098569225,0.0
29,10,6.0,9.0,0.0787878787878788,0.09898989898989898,2.127258679075443,1.9829704591178718,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.6184990125082291,0.3815009874917709,0,0.0,6.085440372364041,0.0,0.0,55.26929426627976,68.02030909632691,0.0,17.707455466509437,37.25576912786767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.089627678723044,19.43837532578467,8.468718654418042,7.614143430003349,28.13580738110177,8.633650755039028,2.6879563948523675,0.0
