,zone_get_possesion,bet_cen_A,bet_cen_B,entropy_A,entropy_B,pA_z1,pA_z2,pA_z3,pA_z4,pA_z5,pA_z6,pA_z7,pA_z8,pA_z9,pA_z10,pA_z11,pA_z12,pB_z1,pB_z2,pB_z3,pB_z4,pB_z5,pB_z6,pB_z7,pB_z8,pB_z9,pB_z10,pB_z11,pB_z12,danger_zone,pass_count_A,pass_count_B,tA_ball_poss,tB_ball_poss,AZ-1,AZ1,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,AZ8,AZ9,AZ10,AZ11,AZ12,BZ-1,BZ1,BZ2,BZ3,BZ4,BZ5,BZ6,BZ7,BZ8,BZ9,BZ10,BZ11,BZ12
85,7,0.05252525252525253,0.050505050505050504,1.5339869809352864,1.5236776694354675,1,6,0,0,3,0,0,1,0,0,0,0,1,6,2,0,1,1,0,0,0,0,0,0,0.0,1,1,0.5449714054647334,0.45502859453526656,0.0,0.6295525373493975,2.6664406409638555,0.0,0.0,0.18037783373493976,0.0,0.0,0.00038446265060241934,0.0,0.0,0.0,0.0,0.0,0.30060840722891574,2.9146791614457817,0.9549356168674699,0.0,1.500012130120483,0.6078355734939758,0.0,0.0,0.0,0.0,0.0,0.0
86,7,0.05454545454545456,0.0707070707070707,1.4557321083640125,1.2591821137344166,0,6,0,0,3,0,0,1,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0.0,0,0,0.45645723504162705,0.543542764958373,4.275660484337351,0.0,3.8358261108433744,0.0,0.0,1.2066554385542165,0.0,0.0,0.1296873686746989,0.0,0.0,0.0,0.0,0.0,0.0,1.6721250795180718,0.0,0.0,0.6283746361445783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,7,0.0707070707070707,0.05454545454545456,1.2591821137344166,1.4557321083640125,1,4,1,0,2,0,0,1,0,2,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0.0,0,0,0.5435559140404448,0.4564440859595552,0.0,0.5489483855421685,3.0909454626506037,3.035662416867469,0.0,0.3634050578313256,0.0,0.0,0.0749265686746987,0.0,0.36665641445783076,0.0,0.0,0.5674509759036148,0.0,4.708557889156626,0.0,0.0,5.940198043373497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,4,0.08282828282828283,0.06464646464646463,1.658245134975633,1.8384687588344328,0,2,0,0,2,2,0,0,1,3,1,0,0,7,1,0,2,0,0,0,0,1,0,0,0.0,1,1,0.4688977707723486,0.5311022292276514,0.0,0.0,1.2574921084337354,0.0,0.0,1.5864055084337356,0.4817066457831326,0.0,0.0,0.17367879759036148,8.143221159036145,0.06606493734939756,0.0,0.0,0.0,2.1661113759036166,3.7641552939759038,0.0,0.5796130554216872,0.0,0.0,0.0,0.0,1.3276025927710844,0.0,0.0
89,6,0.10505050505050506,0.08484848484848485,1.8504347330282094,2.0652007831532755,0,2,2,0,2,1,0,1,1,1,1,0,2,4,0,0,2,1,0,0,0,2,0,0,0.0,1,1,0.5412386748547352,0.4587613251452648,0.0,0.0,2.2004404771084354,2.1529012554216864,0.0,1.5765796626506035,0.19608763373493948,0.0,0.3570821060240962,0.0013244024096386196,0.7488172554216872,0.08622922409638542,0.0,0.0,1.77148418313253,6.799242693975908,0.0,0.0,0.4367279060240965,0.47838296385542145,0.0,0.0,0.0,1.4753712,0.0,0.0
90,3,0.10303030303030303,0.0888888888888889,1.8071416624836352,2.04625223125042,0,3,1,0,1,2,0,2,1,0,1,0,0,1,0,0,1,4,1,2,2,0,0,0,1.0,2,1,0.4614014414513168,0.5385985585486832,0.0,0.0,6.787773065060241,0.8152284867469878,0.0,2.737396633734941,1.9472646506024105,0.0,1.6762224216867458,0.21078639759036089,0.0,0.0733937493975905,0.0,0.0,0.0,6.13807228915745e-05,0.0,0.0,0.1487023373493971,3.012235322891567,2.3202237253012066,2.2743683855421692,2.753498522891567,0.0,0.0,0.0
91,6,0.10505050505050506,0.08686868686868687,1.4331815733342355,1.596019300428435,2,3,1,0,3,0,0,0,0,1,1,0,0,7,0,0,2,1,0,1,0,0,0,0,0.0,1,1,0.5393307614435415,0.46066923855645847,0.0,1.5305265469879523,1.3844271180722894,1.1802839204819278,0.0,0.7509913445783135,0.0,0.0,0.0,0.0,0.8381309710843384,0.06384996867469879,0.0,0.0,0.0,6.868753380722895,0.0,0.0,2.7173674698795205,1.6244860698795192,0.0,1.5573291831325302,0.0,0.0,0.0,0.0
92,5,0.10303030303030304,0.16565656565656564,1.9420034377060076,1.6423042022059895,0,3,1,0,2,2,0,1,1,0,1,0,0,1,0,0,2,3,0,1,3,1,0,0,0.0,1,0,0.4617149098853086,0.5382850901146914,0.0,0.0,1.7257936771084346,0.9674039277108439,0.0,0.7898707662650603,1.4450491590361447,0.0,0.1755156216867469,0.06109193493975908,0.0,0.07796530120481926,0.0,0.0,0.0,0.06673322168674711,0.0,0.0,3.0601987084337363,3.5668535132530117,0.0,0.19289063132530146,4.064999465060242,1.2591155132530119,0.0,0.0
93,5,0.07272727272727274,0.0686868686868687,2.192977665876297,2.2153359883574892,0,0,0,0,1,1,0,5,3,0,1,0,0,1,0,0,3,1,1,2,3,0,0,0,0.0,0,0,0.5481319151210647,0.45186808487893526,0.0,0.0,0.0,0.0,0.0,0.2317618915662652,0.3566080554216869,0.0,1.3938290963855424,3.087904669879518,0.0,0.07945048915662627,0.0,0.0,0.0,0.01374398313253009,0.0,0.0,1.387041607228915,0.08598915903614465,0.2195357204819275,0.5864317373493981,0.8237007469879516,0.0,0.0,0.0
94,5,0.07474747474747477,0.07272727272727274,2.1742215309400184,2.192977665876297,0,0,1,0,3,1,1,0,1,3,1,0,0,1,0,0,3,0,0,3,2,2,0,0,0.0,0,0,0.45188273337074747,0.5481172666292525,0.0,0.0,0.0,0.7541136289156622,0.0,3.423239595180724,1.037341496385542,0.430729532530121,0.0,0.16673596626506038,4.237424696385543,0.060532077108433814,0.0,0.0,0.0,0.1841323807228913,0.0,0.0,6.54245771566265,0.0,0.0,3.424149795180723,0.5651219710843371,1.0593329277108432,0.0,0.0
